key,rmsd
8ERS_WQO,4.085467503279073
7XG5_PLP,1.530556849613758
7ORW_7WA,12.033661126269363
6Z1C_7EY,2.058724714454804
6Z0R_Q4H,2.257936758924294
7RUI_7QZ,6.040754294245653
7NXO_UU8,7.973828057110351
7F5D_EUO,5.769490599387054
7VQ9_ISY,4.315992572171001
8A1H_DLZ,3.441685290151809
7OFF_VCB,3.57585474048904
7S9H_7PP,2.7258355735974265
7AFX_R9K,2.3248894475269752
7VC5_9SF,2.3509974926575405
7LMO_NYO,6.983041783630057
7MEU_MGP,1.876475372104363
7R3D_APR,1.8167590738702466
7UYB_OK0,5.187033454066844
7M6K_YRJ,6.467582352595486
6YJA_2BA,5.992752845878692
7VB8_STL,7.759087873430428
7OLT_58J,5.667642253025724
7PRI_7TI,3.978129463678667
7D5C_GV6,1.4374721409422684
7ODY_DGI,2.214481046858339
7ZZW_KKW,4.80896467748678
7C3U_AZG,3.7063734004832436
7UP3_NZ0,3.6131060198362612
7R7R_AWJ,1.8374699812962114
7NLK_UHK,4.350377778414589
7DUA_HJ0,3.3432936046932715
8AAU_LH0,4.100389619747842
7C6P_SQH,4.113312113430787
7N7H_CTP,4.076617335874784
7L7C_XQ1,4.030330187863326
7LOE_Y84,3.0260970509914595
8AEU_M0L,5.891113109507102
7T1D_E7K,5.143756898741932
8DSC_NCA,3.9687076819939637
7VWF_K55,2.6069645922056184
7XPO_UPG,1.942858262805167
6T88_MWQ,3.5965109980742285
7BTT_F8R,3.1172249126357743
8CSD_C5P,4.9363860644525035
7MWN_WI5,3.3853876647232077
7XQZ_FPF,3.5893004697849107
7SFO_98L,4.398072872560395
6XCT_478,7.35981623522819
7RZL_NPO,4.842569616859984
7OMX_CNA,5.262101607870317
7Q5I_I0F,1.7241679226904514
7UAS_MBU,5.096064168875533
7ED2_A3P,6.832720078992936
7D8Q_GZF,3.520843742380292
7WN5_JGL,5.1946384494394175
8DHG_T78,6.296999929960435
7M31_TDR,3.1016888343269
7MSR_DCA,1.591297808832479
7KZ9_XN7,3.625682241824747
7A1P_QW2,2.3253623106878862
8C5M_MTA,0.8970131718812006
7BJ6_TVK,4.782030679452048
5SAK_ZRY,2.8734955699808538
6Z4N_Q7B,4.91107639876068
7Z1Q_NIO,4.162200127715294
7QSW_CAP,4.564277116225829
8CGC_LMR,7.2315439721859605
8FLN_Y7W,3.2656404193997686
7SDD_4IP,4.744780974044584
